Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Sudden Death,Peter Hyams,Moshe Diamant,Universal,Peter Hyams,Jean-Claude van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Action,1995,,20214270.0,30000000.0,,,,,,,,0
Super 8 1/2,Bruce LaBruce,Jurgen Bruning,Strand Releasing,Donna Mobbs,Bruce LaBruce,Liza LaMonica,Chris Teen,Dirty Pillows,Mikey Mike,Comedy,1995,,,,,Foreign-born,North America (Canada),Canada,Male,Caucasian,,0
Swimming With Sharks,George Huang,Steve Alexander,Trimark Pictures,Steven Finestone,Kevin Spacey,Frank Whaley,Michelle Forbes,Benicio Del Toro,Jerry Levine,Comedy,1995,,34703.0,1000000.0,,Native-born,North America (US),US,,,,1
Sworn Enemies,Shimon Dotan,Shimon Dotan,,Sylvain Brault,Michael Paré,Peter Greene,Macha Grenon,,,Action,1996,,,,,Foreign-born,Europe,Romania,Male,,,0
Tales From the Crypt Presents Demon Knight,Ernest Dickerson,Gil Adler,Universal,Rick Bota,Billy Zane,William Sadler,Jada Pinkett Smith,Brenda Bakke,CCH Pounder),Comedy,1995,,20943520.0,20000000.0,,Native-born,North America (US),US,Male,,,1
Tales From the Hood,Rusty Cundieff,Darin Scott,Savoy Pictures,Anthony B Richmond,Clarence Williams III,Joe Torry,Wings Hauser,Anthony Griffith,Michael Massee,Action,1995,,10705394.0,6000000.0,,Native-born,North America (US),US,Male,Black or African American,,0
Tall Tale: The Unbelievable Adventures of Pecos Bill,Jeremiah Chechik,Joe Roth,Walt Disney,Janusz Kaminski,Patrick Swayze,Oliver Platt,Roger Aaron Brown,Nick Stahl,Scott Glenn,Adventure,1995,,8236432.0,24000000.0,,,,,,,,1
Tank Girl,Rachel Talalay,Pen Densham,MGM,Gale Tattersall,Lori Petty,Ice-T,Naomi Watts,Don Harvey),Jeff Kober,Action,1995,,3817132.0,33000000.0,25000000.0,Native-born,North America (US),US,,,,1
Tender Fictions,Barbara Hammer,Barbara Hammer,,,,,,,,Documentary,1995,,,,,Native-born,North America (US),US,Female,,,0
Terminal Rush,Damian Lee,Andrew Stevens,,,"Don ""The Dragon"" Wilson",Rowdy Roddy Piper,,,,Action,1996,,,,,Foreign-born,North America (Canada),Canadian,,,,0
Texas Chainsaw Massacre: The Next Generation,Kim Henkel,Robert J Kuhn,Cinepix Film Properties Productions,Levie Isaacks,Renée Zellweger,Matthew McConaughey,Robert Jacks,Toni Perenski,Joe Stevens,Horror,1995,,136328.0,,,Native-born,North America (US),US,,,,1
The Addiction,Abel Ferrara,Dennis Hann,October Films,Ken Kelsch,Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Paul Calderon,Drama,1995,,,1000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
The Almighty Fred,Bill Kelman,Bill Kelman,,Robert E Bennett,Jeff Michalski,Jeff Rosenthal,Chris Kriesa,Pamela Preston,,Comedy,1995,,,,,,,,,,,0
The Amazing Panda Adventure,Chris Cain,Lee Rich,Warner Bros.,Jack N Green,Stephen Lang,Ryan Slater,Yi Ding,Wang Fei,,Adventure,1995,,6066506.0,20000000.0,,,,,,,,0
The American President,Rob Reiner,Rob Reiner,Sony Pictures,John Seale,Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Comedy,1995,,59026263.0,40000000.0,62000000.0,Native-born,North America (US),US,Male,Caucasian,47800000.0,1
The Babysitter,Guy Ferland,Kevin Messick,,Rick Bota,,,,,,Adaptation,1995,,,,,,,,,,,0
The Baby-Sitter's Club,Melanie Mayron,Jane Startz,Sony Pictures,Willy Kurant,Schuyler Fisk,Bre Blair,Rachael Leigh Cook,Larisa Oleynik,Tricia Joe,Adaptation,1995,,9015690.0,2000000.0,,Native-born,North America (US),US,Female,Caucasian,,0
The Basketball Diaries,Scott Kalvert,Liz Heller,New Line Cinema,David Phillips,Leonardo DiCaprio,Lorraine Bracco,Marilyn Sokol,James Madio,Patrick McGaw,Adaptation,1995,,2131691.0,4000000.0,,Native-born,North America (US),US,,,,1
The Best Revenge,James Beckett,James Beckett,,Denis Maloney,Carlos Alberto Riccelli,Robert Pine,Pat Destro,Bruna Lombardi,Sarah Bibb,Thriller,1995,,,,,,,,,,,0
The Big Green,Holly Goldberg Sloan,Roger Birnbaum,Walt Disney,Ralf D Bode,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,John Terry,Chauncey Leopardi,Comedy,1995,,17736619.0,28000000.0,,,,,,,,0
The Brady Bunch Movie,Betty Thomas,Sherwood Schwartz,Paramount Pictures,Mac Ahlberg,Shelley Long,Gary Cole,Christopher Daniel Barnes,Christine Taylor,Paul Sutera,Adaptation,1995,,45597368.0,19000000.0,,Native-born,North America (US),US,,,,1
The Break,Lee H Katzin,Vince Van Patten,Trimark Pictures,Frank Pershing Flynn,Vince Van Patten,Martin Sheen,Ben Jorgenson,Valerie Perrine,Gerrit Graham,Drama,1995,,,5000000.0,,Native-born,North America (US),US,,,,1
The Bridges of Madison County,Clint Eastwood,Kathleen Kennedy,Warner Bros.,Jack N Green,Meryl Streep,Clint Eastwood,Annie Corley,Jim Haynie,Victor Slezak,Drama,1995,,70520648.0,35000000.0,22000000.0,Native-born,North America (US),US,Male,Caucasian,104000000.0,1
The Brothers McMullen,Ed Burns,Dick Fisher,Searchlight Pictures,Dick Fisher,Shari Albert,Maxine Bahns,Catherine Bolz,Connie Britton,Ed Burns,Comedy,1995,,9114871.0,28000.0,,Native-born,North America (US),US,,,,0
The Companion,,Richard Brams,,,Kathryn Harrold,Bruce Greenwood,Brion James,,,Sci-Fi,1995,,,,,,,,,,,0
The Crazysitter,Michael James McDonald,Mike Elliott,,Mike Mickens,Beverly D'Angelo,Ed Begley Jr.,Carol Kane,Steve Landesberg,Nell Carter,Comedy,1995,,,2000000.0,,,,,,,,0
The Criminal Mind,Joseph Vittorie,Richard L Albert,,D Alan Newman,Lance Henriksen,Ben Cross,Frank Rossi,Tahnee Welch,Mark Davenport,Action,1995,,,,,,,,,,,1
The Crossing Guard,Sean Penn,David Shamroy Hamburger,Alliance Films,Vilmos Zsigmond,,,,,,Drama,1995,,771693.0,12000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
The Crude Oasis,Alex Graves,Alex Graves,Miramax,Steven Quale,Aaron Shields,Mussef Sibay,Lynn Bieler,Roberta Eaton,Jennifer Taylor,Drama,1995,,13083.0,25000.0,,Native-born,North America (US),US,Male,,,0
The Cure,Peter Horton,Mark Burg,Universal,Andrew Ditenfass,Joseph Mazzello,Brad Renfro,Diana Scarwid,Bruce Davison,Annabella Sciorra,Drama,1995,,56200.0,,,,,,,,,1
The Dark Dealer,Tom Alexander,Wynn Winberg,,,Richard Hull,Kim Frazier,Rocky Patterson,Vincent Gaskins,Mark Fickert,Action,1995,,,,,,,,,,,0
The Death Artist,Michael James McDonald,Mike Elliott,,Christopher Baffa),Anthony Michael Hall,Justine Bateman,Sam Lloyd,Patrick Briston,Shadoe Stevens,Thriller,1995,,,,,,,,,,,0
The Debutantes,Billy Oliver,Susan Stover,,,,,,,,Drama,1995,,,,,,,,,,,0
The Destiny of Marty Fine,Michael Hacker,Jeffrey Miller,,Melinda Sue Gordon,Alan Gelfant,Catherine Keener,Norman Fell,James LeGros,Katherine LaNasa,Crime,1995,,,,,,,,,,,1
The Dinner Party,Michael Hite,Diane Zuckerman,,,Jason Hildebrandt,Lorne Hughes,Tara Milutis,Justine Rossi,Matt Frederick,Comedy,1995,,,,,,,,,,,0
The Donor,Damian Lee,Ashok Amritraj,Prism Pictures,Russ Goozee,Jeff Wincott,Michelle Johnson,Gordon Thomson,,,Action,1995,,,,,Foreign-born,North America (Canada),Canadian,,,,0
The Doom Generation,Gregg Araki,Andrea Sperling,Trimark Pictures,Jim Fealy,James Duval,Rose McGowan,Johnathon Schaech,Cress Williams,Skinny Puppy,Comedy,1995,,,1000000.0,,,,,,,,0
The Fear,Vincent Robert,Richard Brandes,,Bernd Heinl,Eddie Bowz,Leland Hayward III,Erick Weiss,Vince Edwards,Ann Turkel,Horror,1995,,,,,,,,,,,0
The Force,Mark Rosman,Pierre David,Republic Pictures Productions,Jacques Haitkin,Jason Gedrick,Kim Delaney,Gary Hudson,Cyndi Pass,Lyman Ward,Action,1995,,,,,Native-born,North America (US),US,,,,0
The Friends,Kathe Sandler,,,,Monica Calhoun,Crystal Justine,,,,Drama,1995,,,,,,,,,,,0
The Girl With the Hungry Eyes,Jon Jacobs,Michael Kastenbaum,,Gary Tieche,Christina Fulton,Isaac Turner,Leon Herbert,Bret Carr,Susan Rhodes,Adaptation,1995,,,,,Foreign-born,,,,,,0
The Glass Shield,Charles Burnett,Tom Byrnes,Miramax,Elliot Davis,Michael Boatman,Lori Petty,Ice Cube,Elliott Gould,Richard Anderson,Crime,1995,,2477321.0,4000000.0,,Native-born,North America (US),US,,,,1
The Granny,Luca Bercovici,Natan Zahavi,,Wally Pfister,Stella Stevens,Shannon Whirry,Heather Elizabeth Parkhurst,,,Horror,1995,,,,,,,,,,,0
The Green Monster,David Finn,David Hess,,John R Foster,,,,,,Documentary,1995,,,,,,,,,,,0
The Group,Robert Newlon,Erik Knorr,,Humberto DeLuna,Natalie Brunt,Rick Kelly,,,,Drama,1995,,,,,,,,,,,0
The Haunted World of Edward D. Wood Jr.,Brett Thompson,Crawford John Thomas,,David Miller,Conrad Brooks,,,,,Documentary,1995,,,,,,,,,,,0
The Hemp Revolution,Anthony Clarke,Anthony Clarke,Tara Releasing,Anthony Clarke,Jackson Browne,Yothu Yindi,Sirocco,Stephen A Housden,,Documentary,1995,,,,,,,,,,,0
The Human Pets: Josh Kirby...Time Warrior!,Frank Arnold,Vlad Paunescu,,Viorel Sergovici,Corbin Allred,Jennifer Burns,Derek Webster,John DeMita,Richard Lineback,Adventure,1995,,,,,,,,,,,0
The Hunted,J. F. Lawton,John Davis,Universal,Jack Conroy,Christopher Lambert,John Lone,Joan Chen,Yoshio Harada,Yoko Shimada,Action,1995,,6373305.0,26000000.0,,Native-born,North America (US),US,,,,0
The Ice Cream Man,Norman Apstein,Norman Apstein,,Garett Griffen,Clint Howard,Jan-Michael Vincent,Olivia Hussey,Lee Majors II,David Warner,Horror,1995,,,2500000.0,,,,,,,,0
"The Imagined, the Longed for, the Conquered & the Sublime",Roddy Bogawa,,,,,,,,,Experimental,1995,,,,,Native-born,North America (US),US,Male,,,0
The Incredibly True Adventures of Two Girls in Love,Maria Maggenti,Dolly Hall,Fine Line Features,Tami Reiker,Laurel Holloman,Nicole Ari Parker,Maggie Moore,Kate Stafford,Sabrina Artel,Comedy,1995,,1976860.0,5000000.0,,Native-born,North America (US),US,,,,0
The Indian in the Cupboard,Frank Oz,Kathleen Kennedy,Paramount Pictures,Russell Carpenter),,,,,,Family,1995,,31114950.0,40000000.0,45000000.0,,,,,,,0
The Inner Light,Brian McKeaney,Brian McKeaney,,Ronald J Rosenberg,Michael Segal,Pamela Levin,Benjamin Anton,,,Drama,1995,,,,,,,,,,,0
The Innocent,John Schlesinger,Norma Heyman,Miramax,Dietrich Lohmann,Anthony Hopkins,Isabella Rossellini,Campbell Scott,Ronald Nitschke,Hart Bochner,Adaptation,1995,,413605.0,18000000.0,,,,,,,,1
The Interview,Monique Gardenberg,Alan Poul,Strand Releasing,Pedro Farkas,Henry Czerny,Patrick Bauchau,Marilia Pera,Miguel Lunardi,Ana Beatriz Nogueira,Thriller,1995,,,3000000.0,,,,,,,,0
The Jerky Boys,James Melkonian,Joe Roth,Walt Disney,Ueli Steiger,Johnny Brennan,Kamal Ahmed,Alan Arkin,William Hickey,Alan North,Comedy,1995,,7555256.0,23000000.0,4000000.0,Native-born,North America (US),US,,,,1
The Journey of August King,John Duigan,Nick Wechsler,Alliance Films,Slawomir Idziak,Jason Patric,Thandie Newton,Larry Drake,Sam Waterston,Sara-Jane Wylde,Adaptation,1995,,5955.0,10000000.0,,Foreign-born,,Australian,,,,1
The Kingdom of Heaven,Patricia Cardoso,Patricia Cardoso,,Rodrigo Lalinde,Reynaldo Miravalles,Humberto Dorado,Florina Lemaitre,Yolanda Garcia,Saisy Stella Rojas,Drama,1995,,,,,Foreign-born,Latin America,Colombia,Female,,,0
The KKK Boutique Ain't Just Rednecks,Camille Billops,Camille Billops,,Dion Hatch,,,,,,Documentary,1995,,,204879.0,,,,,,,,0
The Last Good Time,Bob Balaban,Bob Balaban,Goldwyn Entertainment,Claudia Raschke,Armin Mueller-Stahl,Olivia d'Abo,Maureen Stapleton,Lionel Stander,Adrian Pasdar,Adaptation,1995,,49727.0,,,,,,,,,1
The Last Sailors,Neil Hollender,Robert K. MacLean,,,Orson Welles,,,,,Documentary,1995,,,,,,,,,,,1
The Legend of O. B. Taggert,Rupert Hitzig,Kevin Pawley,Northern Arts Entertainment,Rick Maguire,Mickey Rooney,Ben Johnson,Nicholas Guest,Randy Travis,Larry Gatlin,Drama,1995,,,2000000.0,,,,,,,,1
The Limits of Thermal Travelling,Mark Bender,James Samelson,,Ben Grieve,David Jacob Ryder,Cullen Douglas,Robin Krasny,Leonor Anthony,Alexandra Adams,Drama,1995,,,,,,,,,,,0
The Little Death,Jan Verheyen,Ann Dubinet,,David Phillips,Brent Fraser,Dwight Yoakam,Solomon Burke,Johnny Williams,Pamela Gidley,Action,1995,,,,,Foreign-born,Europe,Belgium,Male,,,0
The Little Patriot,J Christian Ingvordsen,,,,Dan Haggerty,Rick Washburn,Ryan Washburn,,,Adventure,1995,,,,,,,,,,,0
The Longest Day of the Century,J D Kiggins,J D Kiggins,,J D Kiggins,Walter Shane,Richard Steele,Andy Hansen,,,,1995,,,,,,,,,,,0
The Lord Protector,Ryan J. Carroll,Roland Carroll,,Irv Goodnoff,Patrick Cassidy,Jonathan Fuller,Ron Hale,William Bumiller,Jay Underwood,Action,1996,,,6000000.0,,,,,,,,0
The Love Lesson,Sharon Greytak,Sharon Greytak,,Susan Starr,Stephen Delot,Ruth Hackett,Teresa Vicario,Tara Milutis,Eve Annsol,Drama,1995,,,,,,,,,,,0
The Maestro: King of the Cowboy Artists,Les Blank,Les Blank,Flower Films,Les Blank,Peter Mollica,Peter William Brown,Nadine Starbuck,Kent Cabral,Rowan Lecompte,Documentary,1995,,,,,Native-born,North America (US),US,Male,,,0
The Mangler,Tobe Hooper,Anant Singh,New Line Cinema,Amnon Salomon,Robert Englund,Ted Levine,Daniel Matmor,Jeremy Crutchley,Sherry Oulette,Adaptation,1995,,1778302.0,2000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
The Midwife's Tale,Megan Siler,Megan Siler,,Adam Teichman,Stacey Havener,Gayle Cohen,Carla Milford,Anthony Abate,Ben Prager,Drama,1995,,,,,,,,,,,0
The Morehouse Men,Sabita Kumari-Dass,,,,,,,,,Documentary,1995,,,,,,,,,,,0
The Nature of the Beast,Victor Salva,Dan Grodnik,,Levie Isaacks,Lance Henriksen,Eric Roberts,Brion James,Sasha Jenson,Ana Gabriel,Crime,1995,,,,,Native-born,North America (US),US,Male,Caucasian,,1
The Net,Irwin Winkler,Irwin Winkler,Sony Pictures,Jack N Green,,,,,,Thriller,1995,,49447493.0,32000000.0,22000000.0,Native-born,North America (US),US,,,59900000.0,0
The November Conspiracy,Conrad Janis,Maria Grimm,MiraCon Pictures,Feliks Parnell,Paige Turco,Dirk Benedict,Conrad Janis,Bo Hopkins,George Segal,Thriller,1995,,,,,,,,,,,0
The Other Angels,Patricia L Walsh,Patricia L Walsh,,,,,,,,Documentary,1995,,,,,,,,,,,0
The Past and Present of Djemma El Fna,Stephen Montgomery,Stephen Montgomery,Filmmakers Library,,,,,,,Documentary,1995,,,,,,,,,,,0
The Pebble and the Penguin,Colin Mawby,Russell Boland,MGM,,S Scott Bullock,,,,,Adventure,1995,,2880075.0,20000000.0,,,,,,,,0
The Perez Family,Mira Nair,Michael Nozik,Goldwyn Entertainment,Stuart Dryburgh,,,,,,Adaptation,1995,,2831837.0,3000000.0,11000000.0,Foreign-born,Asia,India,Female,Southeast Asian/Indian,,0
The Phoenix and the Magic Carpet,Zoran Perisic,Zoran Perisic,,Derek Browne,Peter Ustinov,Dee Wallace Stone,Timothy Hegeman,Laura Kamrath,Nick Klein,Adaptation,1995,,,,,,,,,,,1
The Pit: Emergency Room,Jon W Fong,Shamira Mamdani,,Maximo Munzi,Lee Van West,Vicky Chow,David Jean-Thomas,,,Drama,1995,,,,,,,,,,,0
The Poison Tasters,Ulrik Theer,Hong Ting,,Pawel Edelman,French Stewart,Karolina Rosinska,Veerland Thomas Bierce,Aga Lange,,Drama,1995,,,,,,,,,,,0
The Politics of Cancer: A Study in Chaos,Andrzej I Krakowski,Robert Perkis,,Peter Stein,Senator Edward Kennedy,Elizabeth Krakowski,,,,Documentary,1995,,,,,Foreign-born,,,,,,0
The Prophecy,Gregory Widen,Joel Soisson,Miramax,Bruce Douglas Johnson,Elias Koteas,Christopher Walken,Eric Stoltz,Viggo Mortensen,Amanda Plummer,Thriller,1995,,15684989.0,11000000.0,,Native-born,North America (US),US,,,,1
The Pros and Cons of Breathing,Robert Munic,Steven Hart,Leisure Time Features,Steve Adcock,Joey Lauren Adams,Joey Dedeo,Ira Heiden,Philip Tanzini,Barry Sobel,Comedy,1995,,,,,,,,,,,0
The Quick and the Dead,Sam Raimi,Allen Shapiro,Sony Pictures,Dante Spinotti,Sharon Stone,Gene Hackman,Russell Crowe,Leonardo DiCaprio,Tobin Bell,Action,1995,,17282376.0,17000000.0,32000000.0,Native-born,North America (US),US,,,,1
The Reggae Movie,Randy Rovins,Randy Rovins,United Artists Films,Howie Rogers,Shaggy and Rayvon,Ziggy Marley & The Melody Make,Inner Circle,Steel Pulse,Maxi Priest,Documentary,1995,,,,,,,,,,,0
The Road to Flin Flon,David Fulk,Albert Belmont Jr.,,Brett Webster,Charles Klausmeyer,Jamie Kennedy,,,,Comedy,1995,,,,,,,,,,,0
The Run of the Country,Peter Yates,Peter Yates,Sony Pictures,Mike Southon,Albert Finney,Matt Keeslar,Victoria Smurfit,Anthony Brophy,David Kelly,Adaptation,1995,,252913.0,3000000.0,,Foreign-born,,,,,,1
The Scarlet Letter,Roland Joffé,Roland Joffé,Walt Disney,Alex Thomson,Demi Moore,Gary Oldman,Robert Duvall,Edward Hardwicke,Robert Prosky,Drama,1995,,10378982.0,50000000.0,50000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1
The Secret of Roan Inish,John Sayles,Maggie Renzi,First Look,Haskell Wexler,Mick Lally,Eileen Colgan,Richard Sheridan,John Lynch,Cillian Byrne,Adaptation,1995,,82601.0,5000000.0,,,,,,,,0
The Seven Mysteries of Life,Gregg Lachow,Penny Fearon,,Sam Redfield,Kara McMahon,Megan Murphy,Gregg Lachow,Mark C Murphy,Paul Redford,Comedy,1995,,,27000.0,,,,,,,,0
The Shooter,Ted Kotcheff,Silvio Muraglia,Dimension Films,Fernando Arguelles,Dolph Lundgren,Maruschka Detmers,Assumpta Serna,John Ashton,Gavan O'Herlihy,Thriller,1995,,,10000000.0,,,,,,,,0
The Show,Brian Robbins,Robert L. Johnson,Savoy,Dasal Banks,Naughty by Nature,Run DMC,Tha Dogg Pound,Wu-Tang Clan,Da 5 Footaz,Documentary,1995,,2297224.0,1200000.0,,,,,,,,0
The Silencers,Richard Pepin,,,,Jack Scalia,Dennis Christopher,Carlos Lauchu,Lucinda Weist,Clarence Williams III,Action,1995,,,,,Foreign-born,,,,,,0
The Skateboard Kid II,Andrew Stevens,,New Horizons Picture Corp.,Adam Kane,Dee Wallace Stone,Bruce Davison,Andrew Stevens,Trenton Knight,Andrea Barber,Comedy,1995,,,,,,,,,,,1
The Spy Within,Steve Railsback,Mike Elliott,,Anghel Decca,Scott Glenn,Theresa Russell,Lane Smith,Terence Knox,Katherine Helmond,Action,1995,,,5000000.0,,,,,,,,0
The Stars Fell on Henrietta,James Keach,Clint Eastwood,Warner Bros.,Bruce Surtees,Robert Duvall,Aidan Quinn,Frances Fisher,Brian Dennehy,Lexi Faith Randall,Drama,1995,,71697.0,,,Native-born,North America (US),US,Male,Caucasian,,1
The Takeover,Troy Cook,Cheryl L Cook,,T Alexander,Billy Drago,John Savage,Nick Mancuso,Eric DaRe,David Amos,Action,1995,,,,,,,,,,,0
The Temptress,Lawrence Lanoff,Michael Cain,,Tony Nakonechnyj,Kim Delaney,Chris Sarandon,Corbin Bernsen,Dee Wallace Stone,Ben Cross,Thriller,1995,,,,,,,,,,,0
The Tie That Binds,Wesley Strick,David Madden,Walt Disney,Bobby Bukowski,Daryl Hannah,Keith Carradine,Moira Kelly,Vincent Spano,Julia Devin,Thriller,1995,,5769823.0,19000000.0,,,,,,,,1
The Underneath,Steven Soderbergh,John Hardy,Gramercy,,Peter Gallagher,Alison Elliott,William Fichtner,Adam Trese,Joe Don Baker,Thriller,1995,,386890.0,18000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
The Usual Suspects,Bryan Singer,Bryan Singer,Gramercy,Newton Thomas Sigel,Stephen Baldwin,Gabriel Byrne,Arcieri & Associates,Inc.),Chazz Palminteri,Crime,1995,,22627479.0,6000000.0,6000000.0,Native-born,North America (US),US,Male,Caucasian,11107788.0,1
The Viking Sagas,Michael Chapman,Paul R Gurian,,Dean Lent,Ralf Moeller,Sven-Ole Thorsen,Ingibjorg Stefansdottir,Thorir Waagfjord,Hinrik Ólafsson,Action,1995,,,,,Native-born,North America (US),US,,,,0
The Walking Dead,Preston A. Whitmore II,Frank Price,Savoy,John Njaga Demps,Allen Payne,Eddie Griffin,Joe Morton,Vonte Sweet,Roger Floyd,Action,1995,,5172344.0,6000000.0,,Native-born,North America (US),US,Male,Black or African American,,0
The Witchboard: Possession,Peter Svatek,Robin Spry,,Barry Gravelle,Michael Nerman,Locky Lambert,Ceric Smith,Donna Sarrasin,,Horror,1995,,,,,,,,Male,,,0
The Woman In the Moon,Ariadne Kimberly,Mark Borman,,Jeff Stretch,Maria De Medeiros,Brooke Smith,Portia de Rossi,,,Drama,1995,,,,,,,,,,,0
The Year of My Japanese Cousin,Maria Gargiulo,Maria Gargiulo,,Lulu Gargiulo,Selene Vigil,Janis Tanaka,Jasper Streak,Louis Barkan,Alicia Cray,Comedy,1995,,,,,,,,,,,0
Theremin: An Electronic Odyssey,Steven M Martin,Steven M Martin,Orion Classics,Frankie DeMarco,Suki Bader,Beryl Campbell,Lydia Kavina,,,Documentary,1995,,8335.0,,,,,,,,,0
Things to Do in Denver When You're Dead,Gary Fleder,Cary Woods,Alliance Films,Elliot Davis,Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,Comedy,1995,,232179.0,12000000.0,,,,,,,,1
This Ain't Kansas,Christopher Burke,Christopher Burke,,Basil Katsan,Christopher Burke,Jonathan Witte,Lynnae Hitchcock,,,Comedy,1995,,,,,,,,,,,0
This Is Cuba,Chris Hume,Ron Moler,,,,,,,,Documentary,1996,,,,,,,,,,,0
Three Wishes,Martha Coolidge,Clifford Green,Savoy,Johnny E Jensen,Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,Seth Mumy,David Marshall Grant,Fantasy,1995,,6703469.0,20000000.0,,,,,,,,1
Through the Eyes of Forrest Gump,Peyton Reed,William Rus,,,,,,,,Documentary,1995,,,,,Native-born,North America (US),US,Male,Caucasian,,0
Throwing Down,Lawrence O'Neil,Dave Schaye,,Tim McCann,Jeffrey Donovan,Kevin Pinassi,Colleen Werthmann,Timothy Wheeler,Scott Shepherd,Crime,1996,,,,,,,,,,,0
Tie-Died: Rock 'n' Roll's Most Deadicated Fans,Andrew Behar,Cathy Pellow,ISA Releasing,Hamid Shams,,,,,,Documentary,1995,,57108.0,800000.0,,,,,,,,0
Timemaster,James Glickenhaus,,Shapiro/Glickenhaus Entertainment,,Pat Morita,Joanna Pacula,Michael Dorn,Michelle Williams,Jesse Cameron-Glickenhaus,Adventure,1995,,,,,,,,,,,1
Tipped,Lara Shapiro,Lisa Cholodenko,,Mott Hupfel,Jessie Givelber,,,,,Comedy,1995,,,,,,,,,,,0
To Die For,Gus Van Sant,Laura Ziskin,Sony Pictures,Eric Alan Edwards,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Comedy,1995,,20518656.0,22000000.0,20000000.0,Native-born,North America (US),US,Male,Caucasian,6404230.0,1
"To Wong Foo, Thanks for Everything, Julie Newmar",Beeban Kidron,G. Mac Brown,Universal,Steve Mason,Wesley Snipes,Patrick Swayze,John Leguizamo,Stockard Channing,Blythe Danner,Comedy,1995,,36422690.0,28000000.0,,Foreign-born,,British ,,,,1
Toast of the Gods,Eric Magun,Eric Magun,,Lon Magdich,Girt Bolo,Kristie Stoffel,Larry Steiner,,,Adaptation,1995,,,,,,,,,,,0
Tom and Huck,Peter Hewitt,Laurence Mark,Walt Disney,Bobby Bukowski,Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Adaptation,1995,,23913323.0,29000000.0,,,,,,,,0
Tommy Boy,Peter Segal,Lorne Michaels,Paramount Pictures,Victor J Kemper,Chris Farley,David Spade,Brian Dennehy,Bo Derek,Dan Aykroyd,Comedy,1995,,30737536.0,31000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Too Pure,Etienne Sauret,Etienne Sauret,,Peter Fernberger,Doug Conners,Tasha K Lawrence,Mark Grayson,Lorne Hughes,Thomas Humes,Drama,1995,,,,,,,,,,,0
Top Dog,Aaron Norris,Andy Howard,MGM,Joao Fernandes,Chuck Norris,Clyde Kusatsu,Michele Lamar Richards,Peter Savard Moore,Erik Von Detten,Action,1995,,4317948.0,8000000.0,,,,,,,,1
